Program ParDeg inputSize wmName tComputation tTotal
grPPi 1 1499 random-40.png 469858389 470000147
grPPiMemory 1 1499 random-40.png 128950843 139501129
parallelFor 2 1499 random-40.png 211273453 211439000
parallelForMemory 2 1499 random-40.png 57517801 66204107
fastFlow 2 1499 random-40.png 214655282 214819848
fastFlowMemory 2 1499 random-40.png 68264499 76960918
threads 2 1499 random-40.png 215216633 215391100
threadsMemory 2 1499 random-40.png 66063683 74814634
grPPi 2 1499 random-40.png 236784212 236927707
grPPiMemory 2 1499 random-40.png 67070602 77590828
parallelFor 4 1499 random-40.png 109711945 109878743
parallelForMemory 4 1499 random-40.png 30083334 38811133
fastFlow 4 1499 random-40.png 109780768 109947379
fastFlowMemory 4 1499 random-40.png 34394622 43050506
threads 4 1499 random-40.png 108846635 109023022
threadsMemory 4 1499 random-40.png 33819077 42611890
grPPi 4 1499 random-40.png 120165420 120308610
grPPiMemory 4 1499 random-40.png 34120407 44647944
parallelFor 8 1499 random-40.png 55115262 55278857
parallelForMemory 8 1499 random-40.png 15092847 23836318
fastFlow 8 1499 random-40.png 55962776 56128957
fastFlowMemory 8 1499 random-40.png 17527865 26264900
threads 8 1499 random-40.png 55286497 55456521
threadsMemory 8 1499 random-40.png 18464177 27179358
grPPi 8 1499 random-40.png 61647177 61792822
grPPiMemory 8 1499 random-40.png 17212218 27760691
parallelFor 16 1499 random-40.png 27854211 28019096
parallelForMemory 16 1499 random-40.png 7570116 16350406
fastFlow 16 1499 random-40.png 28441785 28607125
fastFlowMemory 16 1499 random-40.png 9051646 17908768
threads 16 1499 random-40.png 28461930 28630742
threadsMemory 16 1499 random-40.png 8960944 17826879
grPPi 16 1499 random-40.png 30980365 31116629
grPPiMemory 16 1499 random-40.png 8730429 19236378
parallelFor 32 1499 random-40.png 16763229 16925956
parallelForMemory 32 1499 random-40.png 3848883 12514424
fastFlow 32 1499 random-40.png 18823383 19001474
fastFlowMemory 32 1499 random-40.png 4832823 13581015
threads 32 1499 random-40.png 17431496 17597370
threadsMemory 32 1499 random-40.png 4599935 13435856
grPPi 32 1499 random-40.png 17110485 17250218
grPPiMemory 32 1499 random-40.png 4484691 14974156
parallelFor 64 1499 random-40.png 16835343 16995783
parallelForMemory 64 1499 random-40.png 2016078 10823548
fastFlow 64 1499 random-40.png 17079791 17244094
fastFlowMemory 64 1499 random-40.png 2792791 11631371
threads 64 1499 random-40.png 16836767 17004641
threadsMemory 64 1499 random-40.png 2406422 11209914
grPPi 64 1499 random-40.png 16767920 16912621
grPPiMemory 64 1499 random-40.png 2404366 13006122
parallelFor 128 1499 random-40.png 17037198 17199456
parallelForMemory 128 1499 random-40.png 1698582 10449904
fastFlow 128 1499 random-40.png 17922055 18089302
fastFlowMemory 128 1499 random-40.png 2353213 11372578
threads 128 1499 random-40.png 18457597 18626313
threadsMemory 128 1499 random-40.png 1871695 10706990
grPPi 128 1499 random-40.png 18603026 18739703
grPPiMemory 128 1499 random-40.png 1959602 12753185
parallelFor 256 1499 random-40.png 19917393 20077754
parallelForMemory 256 1499 random-40.png 1637717 11019238
fastFlow 256 1499 random-40.png 17599597 17765455
fastFlowMemory 256 1499 random-40.png 2394505 11978257
threads 256 1499 random-40.png 17644126 17813162
threadsMemory 256 1499 random-40.png 1480175 10633412
grPPi 256 1499 random-40.png 17520976 17669448
grPPiMemory 256 1499 random-40.png 1519487 12251137
sequential 1 1499 random-85.png 491691953 491868548
sequentialMemory 1 1499 random-85.png 243782075 252781637
parallelFor 1 1499 random-85.png 492204558 492374368
parallelForMemory 1 1499 random-85.png 240349742 249192447
fastFlow 1 1499 random-85.png 499749396 499929560
fastFlowMemory 1 1499 random-85.png 270877336 279908684
threads 1 1499 random-85.png 500206222 500382159
threadsMemory 1 1499 random-85.png 267716486 276642744
grPPi 1 1499 random-85.png 601935540 602076685
grPPiMemory 1 1499 random-85.png 271275346 281946715
parallelFor 2 1499 random-85.png 251419483 251588147
parallelForMemory 2 1499 random-85.png 120791381 129676694
fastFlow 2 1499 random-85.png 257834736 258006576
fastFlowMemory 2 1499 random-85.png 142551433 151524209
threads 2 1499 random-85.png 258324230 258498537
threadsMemory 2 1499 random-85.png 138980146 147844132
grPPi 2 1499 random-85.png 302046887 302190478
grPPiMemory 2 1499 random-85.png 135651901 146399311
parallelFor 4 1499 random-85.png 130898967 131070904
parallelForMemory 4 1499 random-85.png 63138400 72080992
fastFlow 4 1499 random-85.png 131064832 131244141
fastFlowMemory 4 1499 random-85.png 71708412 80583238
threads 4 1499 random-85.png 130288353 130471401
threadsMemory 4 1499 random-85.png 71580853 80473932
grPPi 4 1499 random-85.png 153470814 153619034
grPPiMemory 4 1499 random-85.png 74208070 84776632
parallelFor 8 1499 random-85.png 65776623 65955624
parallelForMemory 8 1499 random-85.png 31580942 40427267
fastFlow 8 1499 random-85.png 66545516 66729269
fastFlowMemory 8 1499 random-85.png 36292459 45316047
threads 8 1499 random-85.png 66906502 67089026
threadsMemory 8 1499 random-85.png 37005727 45988967
grPPi 8 1499 random-85.png 79864454 80008438
grPPiMemory 8 1499 random-85.png 36062064 46768415
parallelFor 16 1499 random-85.png 33091685 33264022
parallelForMemory 16 1499 random-85.png 15861513 24888002
fastFlow 16 1499 random-85.png 33674111 33848171
fastFlowMemory 16 1499 random-85.png 18465017 27302225
threads 16 1499 random-85.png 34604077 34777032
threadsMemory 16 1499 random-85.png 18921118 27786288
grPPi 16 1499 random-85.png 40596818 40741251
grPPiMemory 16 1499 random-85.png 20482465 31147608
parallelFor 32 1499 random-85.png 17174297 17342691
parallelForMemory 32 1499 random-85.png 8013242 16980489
fastFlow 32 1499 random-85.png 17388862 17561908
fastFlowMemory 32 1499 random-85.png 9608255 18598388
threads 32 1499 random-85.png 18109292 18281471
threadsMemory 32 1499 random-85.png 10315126 19221670
grPPi 32 1499 random-85.png 20877630 21018369
grPPiMemory 32 1499 random-85.png 9854219 20523965
parallelFor 64 1499 random-85.png 15168772 15341486
parallelForMemory 64 1499 random-85.png 4159223 13117548
fastFlow 64 1499 random-85.png 16240606 16413379
fastFlowMemory 64 1499 random-85.png 5300953 14303783
threads 64 1499 random-85.png 15897865 16071491
threadsMemory 64 1499 random-85.png 5166336 14037516
grPPi 64 1499 random-85.png 14957334 15101879
grPPiMemory 64 1499 random-85.png 5233419 15907105
parallelFor 128 1499 random-85.png 15431095 15605856
parallelForMemory 128 1499 random-85.png 3427131 12472439
fastFlow 128 1499 random-85.png 15601952 15775345
fastFlowMemory 128 1499 random-85.png 4258873 13362709
threads 128 1499 random-85.png 15383958 15558802
threadsMemory 128 1499 random-85.png 3908266 12929443
grPPi 128 1499 random-85.png 15201062 15345254
grPPiMemory 128 1499 random-85.png 3952752 14608286
parallelFor 256 1499 random-85.png 15411129 15582459
parallelForMemory 256 1499 random-85.png 3185727 12472586
fastFlow 256 1499 random-85.png 16767802 16940529
fastFlowMemory 256 1499 random-85.png 4046295 13392736
threads 256 1499 random-85.png 17448729 17625270
threadsMemory 256 1499 random-85.png 3113258 12031245
grPPi 256 1499 random-85.png 15839817 15985236
grPPiMemory 256 1499 random-85.png 3178408 13896858
sequential 1 1499 swirl-06.png 351842715 351994574
